"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2015","406.56","408.08","408.08","406.54","151.51M","-0.29%"
"05/22/2015","407.74","407.83","408.87","406.23","189.08M","-0.03%"
"05/21/2015","407.87","405.84","408.08","404.64","204.73M","0.36%"
"05/20/2015","406.42","405.32","406.92","403.60","238.17M","0.41%"
"05/19/2015","404.78","399.93","404.91","399.93","263.22M","1.68%"
"05/18/2015","398.09","396.24","398.86","393.78","212.48M","0.41%"
"05/15/2015","396.45","398.56","400.90","395.23","266.68M","-0.39%"
"05/14/2015","397.99","394.30","398.58","392.06","232.48M","0.64%"
"05/13/2015","395.46","396.76","400.26","394.38","306.38M","-0.16%"
"05/12/2015","396.09","399.92","399.92","393.09","323.93M","-1.31%"
"05/11/2015","401.34","400.04","402.00","399.41","260.09M","0.29%"
"05/08/2015","400.16","393.75","400.18","393.75","366.64M","2.87%"
"05/07/2015","388.98","387.37","389.76","381.85","345.39M","0.08%"
"05/06/2015","388.68","390.46","392.29","387.16","323.03M","-0.60%"
"05/05/2015","391.01","397.78","401.14","391.01","364.02M","-1.46%"
"05/04/2015","396.82","395.11","397.98","393.87","255.22M","0.55%"
"05/01/2015","394.66","395.26","395.58","394.07","314.58M","-0.29%"
"04/30/2015","395.79","397.43","397.98","393.46","339.53M","-0.38%"
"04/29/2015","397.30","407.07","408.23","397.22","318.27M","-2.21%"
"04/28/2015","406.28","411.87","411.87","403.86","293.68M","-1.49%"
"04/27/2015","412.42","408.67","412.67","405.56","282.01M","0.98%"
"04/24/2015","408.42","407.30","409.95","406.92","291.24M","0.30%"
"04/23/2015","407.18","409.39","410.72","405.11","272.30M","-0.44%"
"04/22/2015","408.99","409.64","411.40","405.93","284.94M","-0.03%"
"04/21/2015","409.12","408.27","412.11","407.82","299.35M","0.55%"
"04/20/2015","406.87","404.12","407.08","404.12","250.28M","0.79%"
"04/17/2015","403.69","410.22","410.94","403.12","362.27M","-1.76%"
"04/16/2015","410.93","414.31","414.31","410.43","285.92M","-0.76%"
"04/15/2015","414.06","412.28","415.18","412.17","278.78M","0.57%"
"04/14/2015","411.70","413.88","414.67","410.37","293.57M","-0.47%"
"04/13/2015","413.63","412.64","414.25","411.73","215.69M","0.17%"
"04/10/2015","412.93","409.90","413.03","409.90","254.06M","0.92%"
"04/09/2015","409.15","405.45","409.15","405.45","234.32M","1.11%"
"04/08/2015","404.66","404.37","405.78","404.03","272.07M","0.08%"
"04/07/2015","404.34","399.21","404.95","399.21","292.13M","1.64%"
"04/02/2015","397.80","398.21","398.80","397.23","200.98M","-0.18%"
"04/01/2015","398.52","396.39","400.89","395.15","294.33M","0.31%"
"03/31/2015","397.30","400.07","401.75","396.00","306.98M","-0.64%"
"03/30/2015","399.84","396.03","400.18","396.03","235.30M","1.09%"
